City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
190,Preston,GB,2022-07-16 02:16:57,53.7667,-2.7167,57.67,92,82,4.47,broken clouds,0.0,0.0
191,Phan Thiet,VN,2022-07-16 02:14:00,10.9333,108.1,85.39,66,17,8.3,few clouds,0.0,0.0
192,Matamoros,MX,2022-07-16 02:16:58,25.5333,-103.25,89.71,27,75,18.41,dust,0.0,0.0
193,Bentiu,SS,2022-07-16 02:16:58,9.2333,29.8333,68.92,90,32,0.25,scattered clouds,0.0,0.0
194,Pisco,PE,2022-07-16 02:16:58,-13.7,-76.2167,60.03,82,31,4.61,smoke,0.0,0.0
195,Burley,US,2022-07-16 02:16:59,42.5357,-113.7928,92.28,30,0,8.05,clear sky,0.0,0.0
196,Jiuquan,CN,2022-07-16 02:16:59,39.7432,98.5174,75.18,34,100,3.33,overcast clouds,0.0,0.0
197,Korem,ET,2022-07-16 02:16:59,12.5058,39.5228,57.27,80,100,8.95,overcast clouds,0.0,0.0
198,Ostrovnoy,RU,2022-07-16 02:16:59,68.0531,39.5131,51.48,98,100,7.31,light rain,0.0,0.0
199,Rocha,UY,2022-07-16 02:17:00,-34.4833,-54.3333,54.95,99,100,4.5,overcast clouds,0.0,0.0
200,Maluso,PH,2022-07-16 02:17:00,6.543,121.8753,84.29,73,35,4.29,heavy intensity rain,0.0,0.0
201,Camargo,MX,2022-07-16 02:17:00,27.6667,-105.1667,84.94,30,58,20.49,broken clouds,0.0,0.0
202,Mossendjo,CG,2022-07-16 02:17:01,-2.9506,12.7261,63.73,99,51,3.36,broken clouds,0.0,0.0
203,Seoul,KR,2022-07-16 02:17:01,37.5683,126.9778,81.97,65,75,8.05,broken clouds,0.0,0.0
204,Kitros,GR,2022-07-16 02:17:01,40.3756,22.5783,77.95,69,0,3.85,clear sky,0.0,0.0
205,Havre-Saint-Pierre,CA,2022-07-16 02:17:02,50.2334,-63.5986,55.76,94,75,2.3,broken clouds,0.0,0.0
206,Tobermory,CA,2022-07-16 02:17:02,45.2501,-81.6665,63.77,68,100,7.9,overcast clouds,0.0,0.0
207,Kapaa,US,2022-07-16 02:17:02,22.0752,-159.319,84.18,69,0,14.97,clear sky,0.0,0.0
208,Airai,TL,2022-07-16 02:17:03,-8.9266,125.4092,67.35,54,100,2.91,overcast clouds,0.0,0.0
209,Cauquenes,CL,2022-07-16 02:17:03,-35.9671,-72.3225,40.26,96,100,3.38,overcast clouds,0.0,0.0
210,Shubarshi,KZ,2022-07-16 02:17:03,48.5872,57.1869,73.2,44,0,7.23,clear sky,0.0,0.0
211,Hanmer Springs,NZ,2022-07-16 02:17:04,-42.5167,172.8167,43.29,72,29,1.34,scattered clouds,0.0,0.0
212,Buala,SB,2022-07-16 02:14:51,-8.145,159.5921,85.17,65,79,8.16,broken clouds,0.0,0.0
213,Ixtapa,MX,2022-07-16 02:17:04,20.7,-105.2,85.23,70,75,8.05,broken clouds,0.0,0.0
214,Khrebtovaya,RU,2022-07-16 02:12:15,56.7032,104.2494,50.49,99,100,4.36,moderate rain,0.0,0.0
215,Bolivar,US,2022-07-16 02:17:05,37.6145,-93.4105,88.75,55,0,7.9,clear sky,0.0,0.0
216,Sur,OM,2022-07-16 02:17:05,22.5667,59.5289,85.5,78,100,7.18,overcast clouds,0.0,0.0
217,Da Nang,VN,2022-07-16 02:13:17,16.0678,108.2208,87.78,70,0,4.61,clear sky,0.0,0.0
218,Beira,MZ,2022-07-16 02:17:06,-19.8436,34.8389,63.72,85,2,10.58,light rain,0.0,0.0
219,Senanga,ZM,2022-07-16 02:17:06,-16.1167,23.2667,50.95,51,0,5.93,clear sky,0.0,0.0
220,Plock,PL,2022-07-16 02:17:06,52.5468,19.7064,51.98,67,97,6.06,overcast clouds,0.0,0.0
221,Joshimath,IN,2022-07-16 02:17:07,30.5667,79.5667,76.42,61,20,1.59,few clouds,0.0,0.0
222,Provideniya,RU,2022-07-16 02:17:07,64.3833,-173.3,50.52,60,45,6.62,scattered clouds,0.0,0.0
223,Cherskiy,RU,2022-07-16 02:17:07,68.75,161.3,66.51,43,100,12.77,overcast clouds,0.0,0.0
