City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Mbandaka,CD,71.56,few clouds,0.0487,18.2603,Guest House Epervier
433,Japura,ID,81.72,broken clouds,-0.3167,102.35,Rumah mbah Jamah
434,Port Hardy,CA,55.58,broken clouds,50.6996,-127.4199,Airport Inn-Port Hardy
435,Marysville,US,78.71,overcast clouds,48.0518,-122.1771,"Holiday Inn Express & Suites Marysville, an IHG Hotel"
436,Poitiers,FR,63.01,clear sky,46.5833,0.3333,ibis Poitiers Centre
438,Faya,SA,68.52,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
439,Yatou,CN,81.45,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
440,Hit,IQ,88.65,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
443,Vestmannaeyjar,IS,53.06,overcast clouds,63.4427,-20.2734,Glamping & Camping
445,Ancud,CL,40.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
446,Long Beach,US,86.95,clear sky,33.767,-118.1892,The Westin Long Beach
449,Abu Zabad,SD,73.47,broken clouds,12.35,29.25,حامد محمد نور
